单品编码,预测需求(千克),单品名称,分类编码,分类名称,批发价格(元/千克),小分类编码,平均损耗率(%)_小分类编码_不同值
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,14.0,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,17.1,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,17.1,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,12.0,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,12.0,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,12.0,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,12.05,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,12.05,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,12.05,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,12.05,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,12.77,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,13.04,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,13.0,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,12.99,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,14.0,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,14.0,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,14.0,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,14.0,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,14.0,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,14.0,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,14.0,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,14.65,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,15.0,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,15.02,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,15.05,1011010801,9.45
102900005115250,4.2995,西峡花菇(1),1011010801,食用菌,15.05,1011010801,9.45
